State,Area,Ever_Tob_Use,Curr_Tob_Use,Ever_Smoke,Curr_Smoke,Ever_Cig,Curr_Cig,Ever_Bidi,Curr_Bidi,Seen_Cig_Ads_POS,Taught_Tob_Effects,Hard_To_Quit,SHS_Harmful,Ban_Indoor,Ban_Outdoor,Aware_COTPA,Fine_Auth,Tobacco_Free_Guideline,Aware_Board_Policy
Puducherry,Total,11.6,4.3,5.7,2.8,1.5,0,0.1,0,14.8,24.6,40.5,77.1,52.6,59.1,68.2,18.2,63.6,45.5
Puducherry,Urban,11.6,4.3,5.7,2.8,1.5,0,0.1,0,14.8,24.7,40.6,77.1,52.5,59.1,61.5,30.8,61.5,30.8
Puducherry,Rural,13.7,2.7,6,1.7,4.2,1,1.2,0.6,16.2,11.4,19.5,79.7,78.5,60.5,77.8,0,66.7,66.7
Punjab,Total,12.3,5.7,8.2,5.3,4.8,3.6,3.7,2.9,11.2,40.3,18.5,75.5,46.9,70.9,100,32.3,96.8,93.6
Punjab,Urban,8.5,3,5.6,2.2,1.3,0.8,1,0.7,12.6,34.5,22,82.4,57.9,81.2,100,36.4,90.9,100
Punjab,Rural,13.9,6.8,9.2,6.6,6.2,4.7,4.8,3.9,10.5,42.8,17,72.6,42.3,66.7,100,30,100,90
Rajasthan,Total,11.1,4.1,8,3.9,7,3.7,4.5,3.6,16,46.6,23.5,72.7,69.2,71.9,100,64.7,97.1,94.1
Rajasthan,Urban,5.6,0.7,2.4,0.7,1.7,0.7,1,0.4,19.4,36.4,21.6,78.3,83.6,83.2,100,55.6,100,100
Rajasthan,Rural,12.1,4.7,9,4.5,7.9,4.2,5.2,4.1,15.5,48.3,23.9,71.8,66.7,69.9,100,68,96,92
Sikkim,Total,41.8,24.6,31.7,23.4,27,19.4,14.3,9.9,20.3,46.8,46.3,73,71.7,69.6,100,33.3,94.4,77.8
Sikkim,Urban,43.6,26.7,34.7,25.5,30.1,21.3,15,9.8,19.1,47.3,47.3,72.6,75.4,73.4,100,50,87.5,75
Sikkim,Rural,39.1,21.4,27.1,20.1,22.1,16.5,13.2,10,22.1,46,44.8,73.7,66,63.7,100,20,100,80
Tamil Nadu,Total,14.1,4.8,7.8,4.1,3.9,2.3,3.7,1.7,14.8,28.3,34.3,68.4,61.1,62.2,67.7,35.3,64.7,70.6
Tamil Nadu,Urban,15.1,6.4,10,5.8,5.5,3.7,4.9,2.1,13.9,31.9,35.3,66.3,66.1,69.7,60,26.7,66.7,60
Tamil Nadu,Rural,13.3,3.4,5.8,2.6,2.4,1.1,2.6,1.3,15.6,25.2,33.4,70.3,56.6,55.6,73.7,42.1,63.2,79
Telangana,Total,9.4,5.2,6.9,4,3.8,2.5,2.5,1.1,11.7,24.8,34.7,71.1,67.2,65.8,53.1,21.9,53.1,62.5
Telangana,Urban,9.7,5,6.9,3.8,3.5,2.1,2.1,1,11.4,28.1,38.8,73.3,72.5,71.7,52.9,29.4,64.7,76.5
Telangana,Rural,9.1,5.5,7,4.3,4.2,3.1,3,1.2,12.1,20.6,29.4,68.2,60.4,58.4,53.3,13.3,40,46.7
